#REFERENCE LIST;ALGORITHM;P;PREFIX SIZE;RBO_SCORE
TOTALS;betw_dbo_onto;0.93719482421875;20;0.23551693327940582
TOTALS;betw_dbo_onto;0.9683837890625;40;0.2559597380787434
TOTALS;betw_dbo_onto;0.9788665771484375;60;0.2842919572784412
TOTALS;betw_dbo_onto;0.984130859375;80;0.3116843846237443
TOTALS;betw_dbo_onto;0.9872894287109375;100;0.3356509715868278
TOTALS;betw_dbo_onto;0.989410400390625;120;0.3560309420180456
TOTALS;betw_dbo_onto;0.9909210205078125;140;0.3728631830722832
TOTALS;betw_dbo_onto;0.9920501708984375;160;0.38656783401749834
TOTALS;betw_dbo_onto;0.9929351806640625;180;0.39772849763865464
TOTALS;betw_dbo_onto;0.9936370849609375;200;0.40657939999790144
TOTALS;betw_dbo_onto;0.9942169189453125;220;0.4136510889003051
TOTALS;betw_dbo_onto;0.9946975708007812;240;0.41914722812483673
TOTALS;betw_dbo_onto;0.9951019287109375;260;0.42335128752327367
TOTALS;betw_dbo_onto;0.995452880859375;280;0.426556222067702
TOTALS;betw_dbo_onto;0.995758056640625;300;0.428899912296929
TOTALS;betw_dbo_onto;0.9960212707519531;320;0.4305055699645258
TOTALS;betw_dbo_onto;0.9962539672851562;340;0.43153727451941853
TOTALS;betw_dbo_onto;0.9964637756347656;360;0.4321005801228257
TOTALS;betw_dbo_onto;0.9966506958007812;380;0.43226493848269953
TOTALS;betw_dbo_onto;0.9968166351318359;400;0.43210927584416137
TOTALS;betw_dbo_onto;0.9969673156738281;420;0.4316939139462038
TOTALS;betw_dbo_onto;0.9971046447753906;440;0.431065044533292
TOTALS;betw_dbo_onto;0.9972305297851562;460;0.4302597035334482
TOTALS;betw_dbo_onto;0.9973468780517578;480;0.4293045816829569
TOTALS;betw_dbo_onto;0.9974517822265625;500;0.4282568202573491
TOTALS;bridging_dbo_onto;0.93719482421875;20;0.018408959464610724
TOTALS;bridging_dbo_onto;0.9683837890625;40;0.07144567338407416
TOTALS;bridging_dbo_onto;0.9788665771484375;60;0.12152075985643505
TOTALS;bridging_dbo_onto;0.984130859375;80;0.16403359990412753
TOTALS;bridging_dbo_onto;0.9872894287109375;100;0.19961116584452726
TOTALS;bridging_dbo_onto;0.989410400390625;120;0.22962131298902416
TOTALS;bridging_dbo_onto;0.9909210205078125;140;0.2547070417095806
TOTALS;bridging_dbo_onto;0.9920501708984375;160;0.27566595838382435
TOTALS;bridging_dbo_onto;0.9929351806640625;180;0.29338508390020873
TOTALS;bridging_dbo_onto;0.9936370849609375;200;0.30813606904255064
TOTALS;bridging_dbo_onto;0.9942169189453125;220;0.320656917682176
TOTALS;bridging_dbo_onto;0.9946975708007812;240;0.33114229599551614
TOTALS;bridging_dbo_onto;0.9951019287109375;260;0.33993088743575983
TOTALS;bridging_dbo_onto;0.995452880859375;280;0.34744330587569366
TOTALS;bridging_dbo_onto;0.995758056640625;300;0.3538122195333451
TOTALS;bridging_dbo_onto;0.9960212707519531;320;0.3591218607262109
TOTALS;bridging_dbo_onto;0.9962539672851562;340;0.3636248898773634
TOTALS;bridging_dbo_onto;0.9964637756347656;360;0.3674903197453616
TOTALS;bridging_dbo_onto;0.9966506958007812;380;0.3707450440973754
TOTALS;bridging_dbo_onto;0.9968166351318359;400;0.37345847507395935
TOTALS;bridging_dbo_onto;0.9969673156738281;420;0.3757573152191939
TOTALS;bridging_dbo_onto;0.9971046447753906;440;0.37769773887344327
TOTALS;bridging_dbo_onto;0.9972305297851562;460;0.379331959632449
TOTALS;bridging_dbo_onto;0.9973468780517578;480;0.38070690376324257
TOTALS;bridging_dbo_onto;0.9974517822265625;500;0.38182487172572377
TOTALS;deg_dbo_onto;0.93719482421875;20;0.18067912318304882
TOTALS;deg_dbo_onto;0.9683837890625;40;0.18220981795501093
TOTALS;deg_dbo_onto;0.9788665771484375;60;0.19849963645860766
TOTALS;deg_dbo_onto;0.984130859375;80;0.220478053167245
TOTALS;deg_dbo_onto;0.9872894287109375;100;0.24380582784372928
TOTALS;deg_dbo_onto;0.989410400390625;120;0.2665455714203683
TOTALS;deg_dbo_onto;0.9909210205078125;140;0.287305036594765
TOTALS;deg_dbo_onto;0.9920501708984375;160;0.3055020505613796
TOTALS;deg_dbo_onto;0.9929351806640625;180;0.32115790071519773
TOTALS;deg_dbo_onto;0.9936370849609375;200;0.334089182058102
TOTALS;deg_dbo_onto;0.9942169189453125;220;0.3447296864411241
TOTALS;deg_dbo_onto;0.9946975708007812;240;0.3531667322082601
TOTALS;deg_dbo_onto;0.9951019287109375;260;0.3596918393645755
TOTALS;deg_dbo_onto;0.995452880859375;280;0.36467278712757056
TOTALS;deg_dbo_onto;0.995758056640625;300;0.36827293666533406
TOTALS;deg_dbo_onto;0.9960212707519531;320;0.3706588219533401
TOTALS;deg_dbo_onto;0.9962539672851562;340;0.37207368205082003
TOTALS;deg_dbo_onto;0.9964637756347656;360;0.3726747050313313
TOTALS;deg_dbo_onto;0.9966506958007812;380;0.3725763195305472
TOTALS;deg_dbo_onto;0.9968166351318359;400;0.3719127236125111
TOTALS;deg_dbo_onto;0.9969673156738281;420;0.37077898044744695
TOTALS;deg_dbo_onto;0.9971046447753906;440;0.36925453407192044
TOTALS;deg_dbo_onto;0.9972305297851562;460;0.3674032780195914
TOTALS;deg_dbo_onto;0.9973468780517578;480;0.36527042461821546
TOTALS;deg_dbo_onto;0.9974517822265625;500;0.3629709340126181
TOTALS;harm_dbo_onto;0.93719482421875;20;0.018560098160029938
TOTALS;harm_dbo_onto;0.9683837890625;40;0.05993306316408425
TOTALS;harm_dbo_onto;0.9788665771484375;60;0.10227403918362343
TOTALS;harm_dbo_onto;0.984130859375;80;0.14258093892999524
TOTALS;harm_dbo_onto;0.9872894287109375;100;0.17991534756615904
TOTALS;harm_dbo_onto;0.989410400390625;120;0.21413143021301212
TOTALS;harm_dbo_onto;0.9909210205078125;140;0.24465326712418892
TOTALS;harm_dbo_onto;0.9920501708984375;160;0.271445665126491
TOTALS;harm_dbo_onto;0.9929351806640625;180;0.2949535430827753
TOTALS;harm_dbo_onto;0.9936370849609375;200;0.31506683347979075
TOTALS;harm_dbo_onto;0.9942169189453125;220;0.33247675714481834
TOTALS;harm_dbo_onto;0.9946975708007812;240;0.3472508534457901
TOTALS;harm_dbo_onto;0.9951019287109375;260;0.3597314163198125
TOTALS;harm_dbo_onto;0.995452880859375;280;0.37043323636180486
TOTALS;harm_dbo_onto;0.995758056640625;300;0.37949518357718254
TOTALS;harm_dbo_onto;0.9960212707519531;320;0.3870093943621396
TOTALS;harm_dbo_onto;0.9962539672851562;340;0.3933216077897949
TOTALS;harm_dbo_onto;0.9964637756347656;360;0.3986642699584918
TOTALS;harm_dbo_onto;0.9966506958007812;380;0.40307730731147245
TOTALS;harm_dbo_onto;0.9968166351318359;400;0.40666622082810805
TOTALS;harm_dbo_onto;0.9969673156738281;420;0.40961220425040595
TOTALS;harm_dbo_onto;0.9971046447753906;440;0.41200040312279196
TOTALS;harm_dbo_onto;0.9972305297851562;460;0.41390968946928475
TOTALS;harm_dbo_onto;0.9973468780517578;480;0.41540969586837073
TOTALS;harm_dbo_onto;0.9974517822265625;500;0.4165226135127492
TOTALS;rad_dbo_onto;0.93719482421875;20;0.06420443693175991
TOTALS;rad_dbo_onto;0.9683837890625;40;0.09210648214444182
TOTALS;rad_dbo_onto;0.9788665771484375;60;0.1265990622014151
TOTALS;rad_dbo_onto;0.984130859375;80;0.1620650126498008
TOTALS;rad_dbo_onto;0.9872894287109375;100;0.19627584573088913
TOTALS;rad_dbo_onto;0.989410400390625;120;0.22840147058311813
TOTALS;rad_dbo_onto;0.9909210205078125;140;0.25752240599365245
TOTALS;rad_dbo_onto;0.9920501708984375;160;0.2833815859235464
TOTALS;rad_dbo_onto;0.9929351806640625;180;0.3062773002607741
TOTALS;rad_dbo_onto;0.9936370849609375;200;0.32601801836186073
TOTALS;rad_dbo_onto;0.9942169189453125;220;0.34322486964113796
TOTALS;rad_dbo_onto;0.9946975708007812;240;0.3579245342710403
TOTALS;rad_dbo_onto;0.9951019287109375;260;0.37042497305767874
TOTALS;rad_dbo_onto;0.995452880859375;280;0.3812179689058882
TOTALS;rad_dbo_onto;0.995758056640625;300;0.39042502641788773
TOTALS;rad_dbo_onto;0.9960212707519531;320;0.3981211644086426
TOTALS;rad_dbo_onto;0.9962539672851562;340;0.40464386390948054
TOTALS;rad_dbo_onto;0.9964637756347656;360;0.41022095844539924
TOTALS;rad_dbo_onto;0.9966506958007812;380;0.41488225659218153
TOTALS;rad_dbo_onto;0.9968166351318359;400;0.41872558853606406
TOTALS;rad_dbo_onto;0.9969673156738281;420;0.4219326369091661
TOTALS;rad_dbo_onto;0.9971046447753906;440;0.42458555105956924
TOTALS;rad_dbo_onto;0.9972305297851562;460;0.42676147172502266
TOTALS;rad_dbo_onto;0.9973468780517578;480;0.42852959328838824
TOTALS;rad_dbo_onto;0.9974517822265625;500;0.42990313726217433
TOTALS;adapted_betw_dbo_onto;0.93719482421875;20;0.33305579827880843
TOTALS;adapted_betw_dbo_onto;0.9683837890625;40;0.4348494121851502
TOTALS;adapted_betw_dbo_onto;0.9788665771484375;60;0.49369790128061053
TOTALS;adapted_betw_dbo_onto;0.984130859375;80;0.5345695653596835
TOTALS;adapted_betw_dbo_onto;0.9872894287109375;100;0.5658632351802341
TOTALS;adapted_betw_dbo_onto;0.989410400390625;120;0.5914202008188275
TOTALS;adapted_betw_dbo_onto;0.9909210205078125;140;0.6128406389128142
TOTALS;adapted_betw_dbo_onto;0.9920501708984375;160;0.631226846490247
TOTALS;adapted_betw_dbo_onto;0.9929351806640625;180;0.6474831834133166
TOTALS;adapted_betw_dbo_onto;0.9936370849609375;200;0.6618232483717181
TOTALS;adapted_betw_dbo_onto;0.9942169189453125;220;0.6748476243615718
TOTALS;adapted_betw_dbo_onto;0.9946975708007812;240;0.6866064533950764
TOTALS;adapted_betw_dbo_onto;0.9951019287109375;260;0.6972869931535104
TOTALS;adapted_betw_dbo_onto;0.995452880859375;280;0.7072261544184658
TOTALS;adapted_betw_dbo_onto;0.995758056640625;300;0.7164399839794626
TOTALS;adapted_betw_dbo_onto;0.9960212707519531;320;0.7248628027153668
TOTALS;adapted_betw_dbo_onto;0.9962539672851562;340;0.7327137986846333
TOTALS;adapted_betw_dbo_onto;0.9964637756347656;360;0.7401481653691172
TOTALS;adapted_betw_dbo_onto;0.9966506958007812;380;0.7470792182317442
TOTALS;adapted_betw_dbo_onto;0.9968166351318359;400;0.7534935913699596
TOTALS;adapted_betw_dbo_onto;0.9969673156738281;420;0.759545571029737
TOTALS;adapted_betw_dbo_onto;0.9971046447753906;440;0.7652615656760153
TOTALS;adapted_betw_dbo_onto;0.9972305297851562;460;0.7706785850351207
TOTALS;adapted_betw_dbo_onto;0.9973468780517578;480;0.7758440426117426
TOTALS;adapted_betw_dbo_onto;0.9974517822265625;500;0.7806385715829044
TOTALS;adapted_bridging_dbo_onto;0.93719482421875;20;0.33016003726786947
TOTALS;adapted_bridging_dbo_onto;0.9683837890625;40;0.4339456177138909
TOTALS;adapted_bridging_dbo_onto;0.9788665771484375;60;0.4903775534092796
TOTALS;adapted_bridging_dbo_onto;0.984130859375;80;0.5270334086092434
TOTALS;adapted_bridging_dbo_onto;0.9872894287109375;100;0.5538410248029114
TOTALS;adapted_bridging_dbo_onto;0.989410400390625;120;0.5752873122736586
TOTALS;adapted_bridging_dbo_onto;0.9909210205078125;140;0.5932189778626625
TOTALS;adapted_bridging_dbo_onto;0.9920501708984375;160;0.6087241625281722
TOTALS;adapted_bridging_dbo_onto;0.9929351806640625;180;0.622586491587789
TOTALS;adapted_bridging_dbo_onto;0.9936370849609375;200;0.6349557759999941
TOTALS;adapted_bridging_dbo_onto;0.9942169189453125;220;0.6463054063648387
TOTALS;adapted_bridging_dbo_onto;0.9946975708007812;240;0.656638390101951
TOTALS;adapted_bridging_dbo_onto;0.9951019287109375;260;0.6660842515222779
TOTALS;adapted_bridging_dbo_onto;0.995452880859375;280;0.6749157080513416
TOTALS;adapted_bridging_dbo_onto;0.995758056640625;300;0.6831289496740253
TOTALS;adapted_bridging_dbo_onto;0.9960212707519531;320;0.6906516415873271
TOTALS;adapted_bridging_dbo_onto;0.9962539672851562;340;0.6976700794687387
TOTALS;adapted_bridging_dbo_onto;0.9964637756347656;360;0.7043168811519674
TOTALS;adapted_bridging_dbo_onto;0.9966506958007812;380;0.7105104815657698
TOTALS;adapted_bridging_dbo_onto;0.9968166351318359;400;0.7162366063702047
TOTALS;adapted_bridging_dbo_onto;0.9969673156738281;420;0.7216317832474684
TOTALS;adapted_bridging_dbo_onto;0.9971046447753906;440;0.7267189484647493
TOTALS;adapted_bridging_dbo_onto;0.9972305297851562;460;0.7315309344933618
TOTALS;adapted_bridging_dbo_onto;0.9973468780517578;480;0.7361100143235701
TOTALS;adapted_bridging_dbo_onto;0.9974517822265625;500;0.7403510979178141
TOTALS;adapted_deg_dbo_onto;0.93719482421875;20;0.3547296993043003
TOTALS;adapted_deg_dbo_onto;0.9683837890625;40;0.4220968005666401
TOTALS;adapted_deg_dbo_onto;0.9788665771484375;60;0.4658645458824893
TOTALS;adapted_deg_dbo_onto;0.984130859375;80;0.4985406516400396
TOTALS;adapted_deg_dbo_onto;0.9872894287109375;100;0.5250760436259222
TOTALS;adapted_deg_dbo_onto;0.989410400390625;120;0.5478125865910132
TOTALS;adapted_deg_dbo_onto;0.9909210205078125;140;0.5675306002756293
TOTALS;adapted_deg_dbo_onto;0.9920501708984375;160;0.5847840903990741
TOTALS;adapted_deg_dbo_onto;0.9929351806640625;180;0.6001287935426803
TOTALS;adapted_deg_dbo_onto;0.9936370849609375;200;0.6135961863614432
TOTALS;adapted_deg_dbo_onto;0.9942169189453125;220;0.6256634667238592
TOTALS;adapted_deg_dbo_onto;0.9946975708007812;240;0.6363441381984686
TOTALS;adapted_deg_dbo_onto;0.9951019287109375;260;0.6458134782350574
TOTALS;adapted_deg_dbo_onto;0.995452880859375;280;0.6543876981148689
TOTALS;adapted_deg_dbo_onto;0.995758056640625;300;0.6621038195145051
TOTALS;adapted_deg_dbo_onto;0.9960212707519531;320;0.6689433908053525
TOTALS;adapted_deg_dbo_onto;0.9962539672851562;340;0.6751220046401538
TOTALS;adapted_deg_dbo_onto;0.9964637756347656;360;0.6807892651044075
TOTALS;adapted_deg_dbo_onto;0.9966506958007812;380;0.6859062970632327
TOTALS;adapted_deg_dbo_onto;0.9968166351318359;400;0.690494927922183
TOTALS;adapted_deg_dbo_onto;0.9969673156738281;420;0.6946923575714993
TOTALS;adapted_deg_dbo_onto;0.9971046447753906;440;0.6985375413184445
TOTALS;adapted_deg_dbo_onto;0.9972305297851562;460;0.7020737322423902
TOTALS;adapted_deg_dbo_onto;0.9973468780517578;480;0.7053473461645213
TOTALS;adapted_deg_dbo_onto;0.9974517822265625;500;0.7082996618716371
TOTALS;adapted_harm_dbo_onto;0.93719482421875;20;0.31055747408552015
TOTALS;adapted_harm_dbo_onto;0.9683837890625;40;0.3657681252608425
TOTALS;adapted_harm_dbo_onto;0.9788665771484375;60;0.3880084773835805
TOTALS;adapted_harm_dbo_onto;0.984130859375;80;0.40163251206213135
TOTALS;adapted_harm_dbo_onto;0.9872894287109375;100;0.4132680416014114
TOTALS;adapted_harm_dbo_onto;0.989410400390625;120;0.4249922025471006
TOTALS;adapted_harm_dbo_onto;0.9909210205078125;140;0.4371753463387954
TOTALS;adapted_harm_dbo_onto;0.9920501708984375;160;0.4497719348819795
TOTALS;adapted_harm_dbo_onto;0.9929351806640625;180;0.4627592774665429
TOTALS;adapted_harm_dbo_onto;0.9936370849609375;200;0.475737460956878
TOTALS;adapted_harm_dbo_onto;0.9942169189453125;220;0.4887794986346769
TOTALS;adapted_harm_dbo_onto;0.9946975708007812;240;0.5015689174652662
TOTALS;adapted_harm_dbo_onto;0.9951019287109375;260;0.5139971902704926
TOTALS;adapted_harm_dbo_onto;0.995452880859375;280;0.5262306414371564
TOTALS;adapted_harm_dbo_onto;0.995758056640625;300;0.5381209551175308
TOTALS;adapted_harm_dbo_onto;0.9960212707519531;320;0.5494308870004345
TOTALS;adapted_harm_dbo_onto;0.9962539672851562;340;0.5603328773870797
TOTALS;adapted_harm_dbo_onto;0.9964637756347656;360;0.570960233279459
TOTALS;adapted_harm_dbo_onto;0.9966506958007812;380;0.5811209048023569
TOTALS;adapted_harm_dbo_onto;0.9968166351318359;400;0.5907306452965457
TOTALS;adapted_harm_dbo_onto;0.9969673156738281;420;0.5999706323596556
TOTALS;adapted_harm_dbo_onto;0.9971046447753906;440;0.6088447760984244
TOTALS;adapted_harm_dbo_onto;0.9972305297851562;460;0.6173806377812973
TOTALS;adapted_harm_dbo_onto;0.9973468780517578;480;0.6256291388038631
TOTALS;adapted_harm_dbo_onto;0.9974517822265625;500;0.6333765090241591
TOTALS;adapted_rad_dbo_onto;0.93719482421875;20;0.3341283673490355
TOTALS;adapted_rad_dbo_onto;0.9683837890625;40;0.4350225303083089
TOTALS;adapted_rad_dbo_onto;0.9788665771484375;60;0.4930661876255851
